Long Term Condition,Australia,Oceania and Antarctica,Americas,Europe,Africa,Asia
Arthritis,1508195,60470,23577,358959,61247,98275
Asthma,1680155,60501,21436,144738,43712,99114
Cancer,510761,22046,8687,120762,18699,39769
Dementia,112877,3944,1787,47783,5488,11203
Diabetes,705538,44276,13368,189544,57856,167423
Heart disease,661353,30555,9070,181218,32622,64544
Kidney disease,152876,7503,2264,37183,8609,18189
Lung condition,320950,13054,3263,72565,8440,12682
Mental health condition ,1816564,51979,26941,188184,50632,75693
Stroke,153349,7185,2227,44167,7126,14815
Not stated,686884,26592,8613,72239,27437,69929
